"statni_zkouska_id";"zaverecna_prace_id";"studium_id";"cislo_terminu";"typ_szzk";"uzavreno";"datum_prihlaseni";"datum_absolvovani";"celkove_hodnoceni";"poznamka"
"587865426405";"617894835405";"6296406";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"1";""
"587865426505";"710771155205";"6296506";"1";"SZZ";"A";"2016-05-16";"2016-06-21";"2";""
"587865426605";"726663464805";"6296606";"1";"SZZ";"A";"2016-05-16";"2016-06-29";"1.5";""
"587865426705";"616947708705";"6296806";"1";"SZZ";"A";"2015-05-20";"2015-06-22";"2.5";""
"587865428105";"615067296705";"6297006";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"1.5";""
"587865428205";"";"6297106";"1";"SZZ";"";"";"";"";""
"587865428305";"614833803405";"6297206";"1";"SZZ";"A";"2015-05-20";"2015-06-22";"1";""
"587865428405";"625094037805";"6297306";"1";"SZZ";"A";"2015-05-20";"2015-06-17";"1";""
"587865428505";"625093249005";"6297706";"1";"SZZ";"A";"2015-05-20";"2015-06-18";"1.5";""
"587865428605";"628531669605";"6297806";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"1";""
"763155689505";"727187797005";"6298106";"2";"SZZ";"A";"2016-07-25";"2016-08-30";"2.5";""
"587865428705";"727187797005";"6298106";"1";"SZZ1";"A";"2016-04-28";"2016-06-21";"4";""
"587865428805";"701962717805";"6298506";"1";"SZZ";"A";"2016-05-16";"2016-06-23";"2";""
"587865428905";"636393598105";"6298706";"1";"SZZ";"A";"2015-05-20";"2015-06-17";"1";""
"587865429005";"";"6298906";"1";"SZZ";"";"";"";"";""
"587865429105";"624609081305";"6299306";"1";"SZZ";"A";"2016-05-05";"2016-06-23";"2";""
"587865429205";"636394513305";"6299406";"1";"SZZ";"A";"2016-04-21";"2016-06-28";"1.5";""
"587865378105";"630504304905";"6299506";"1";"SZZ1";"A";"2016-04-30";"2016-06-22";"4";""
"763431763705";"630504304905";"6299506";"2";"SZZ";"";"";"";"";""
"587865379205";"730293145805";"6300206";"1";"SZZ";"A";"2016-05-02";"2016-06-29";"2";""
"587865379305";"726663889905";"6300406";"1";"SZZ";"A";"2016-05-16";"2016-06-22";"3";""
"587865379405";"633947368805";"6300906";"1";"SZZ";"A";"2015-05-20";"2015-06-17";"2";""
"587865379505";"";"6301306";"1";"SZZ";"";"";"";"";""
"587865379605";"633458741205";"6301706";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"2.5";""
"587865379705";"";"6301906";"1";"SZZ";"";"";"";"";""
"587864090405";"";"6302306";"1";"SZZ";"";"";"";"";""
"587865381605";"";"6302506";"1";"SZZ";"";"";"";"";""
"587865381705";"618847449205";"6302906";"1";"SZZ";"A";"2016-05-18";"2016-06-23";"1.5";""
